release_version,sample_id,item_index,additive_name_raw,additive_name,amount_raw,amount_value,amount_unit,gold_label,binary_label,food_category_code,food_category_name,category_path_codes,category_path_names,evidence_status,evidence_rule_category_code,evidence_rule_category_name,evidence_additive_name,cns,ins,max_amount,rule_unit,remark,calculation_basis,candidate_rule_count,source_standard,correction_applied
partial-dataset-v1.0.0,1,1,迷迭香提取物,迷迭香提取物,0.6g/kg,0.6,g/kg,SAFE,SAFE,02.01.01,植物油脂,02.01.01 > 02.01 > 02.0,"植物油脂 > 基本不含水的脂肪和油 > 脂肪,油和乳化脂肪制品",supporting_rule_found,02.01.01,植物油脂,迷迭香提取物,4.017,392,0.7,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,1,2,硬脂酰乳酸钙,硬脂酰乳酸钙,0.4g/kg,0.4,g/kg,RISK_OVERLIMIT,RISK,02.01.01,植物油脂,02.01.01 > 02.01 > 02.0,"植物油脂 > 基本不含水的脂肪和油 > 脂肪,油和乳化脂肪制品",supporting_rule_found,02.01.01,植物油脂,"硬脂酰乳酸钠,硬脂酰乳酸钙",10.011,481(i),0.3,g/kg,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,2,1,焦糖色(亚硫酸铵法),焦糖色(亚硫酸铵法),3.6g/L,3.6,g/L,SAFE,SAFE,15.01.06,朗姆酒,15.01.06 > 15.01 > 15.0,朗姆酒 > 蒸馏酒 > 酒类,supporting_rule_found,15.01.06,朗姆酒,焦糖色(亚硫酸铵法),8.109,150d,6.0,g/L,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,2,2,焦糖色(普通法),焦糖色(普通法),4.8g/L,4.8,g/L,SAFE,SAFE,15.01.06,朗姆酒,15.01.06 > 15.01 > 15.0,朗姆酒 > 蒸馏酒 > 酒类,supporting_rule_found,15.01.06,朗姆酒,焦糖色(普通法),8.108,150a,6.0,g/L,,,1,GB 2760-2024,False
partial-dataset-v1.0.0,3,1,碳酸钙,碳酸钙,0.1g/kg,0.1,g/kg,RISK_FORBIDDEN,RISK,10.03.02,热凝固蛋制品(如蛋黄酪、皮蛋肠),10.03.02 > 10.03 > 10.0,热凝固蛋制品(如蛋黄酪、皮蛋肠) > 蛋制品(改变其物理性状) > 蛋及蛋制品,no_authorization_on_category_path,,,,,,,,,,0,GB 2760-2024,False
partial-dataset-v1.0.0,3,2,磷酸及磷酸盐,磷酸及磷酸盐,4.0g/kg,4.0,g/kg,SAFE,SAFE,10.03.02,热凝固蛋制品(如蛋黄酪、皮蛋肠),10.03.02 > 10.03 > 10.0,热凝固蛋制品(如蛋黄酪、皮蛋肠) > 蛋制品(改变其物理性状) > 蛋及蛋制品,supporting_rule_found,10.03.02,热凝固蛋制品(如蛋黄酪、皮蛋肠),"磷酸及磷酸盐[包括磷酸,焦磷酸二氢二钠,焦磷酸钠,磷酸二氢钙,磷酸二氢钾,磷酸氢二铵,磷酸氢二钾,磷酸氢钙,磷酸三钙,磷酸三钾,磷酸三钠,多聚磷酸钠(包括六偏磷酸钠),三聚磷酸钠,磷酸二氢钠,磷酸氢二钠,焦磷酸四钾,焦磷酸一氢三钠,聚偏磷酸钾,酸式焦磷酸钙]",1.106,338,5.0,g/kg,,磷酸根(PO43- ),1,GB 2760-2024,False
partial-dataset-v1.0.0,3,3,对羟基苯甲酸酯类及其钠盐,对羟基苯甲酸酯类及其钠盐,0.12g/kg,0.12,g/kg,SAFE,SAFE,10.03.02,热凝固蛋制品(如蛋黄酪、皮蛋肠),10.03.02 > 10.03 > 10.0,热凝固蛋制品(如蛋黄酪、皮蛋肠) > 蛋制品(改变其物理性状) > 蛋及蛋制品,supporting_rule_found,10.03.02,热凝固蛋制品(如蛋黄酪、皮蛋肠),"对羟基苯甲酸酯类及其钠盐(包括对羟基苯甲酸甲酯钠,对羟基苯甲酸乙酯,对羟基苯甲酸乙酯钠)",17.032,219,0.2,g/kg,,以对羟基苯甲酸计,1,GB 2760-2024,False
partial-dataset-v1.0.0,4,1,抗坏血酸,抗坏血酸,0.8g/kg,0.8,g/kg,SAFE,SAFE,04.02.01.03,去皮、切块或切丝的蔬菜,04.02.01.03 > 04.02.01 > 04.02 > 04.0,去皮、切块或切丝的蔬菜 > 新鲜蔬菜 > 蔬菜 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,supporting_rule_found,04.02.01.03,去皮、切块或切丝的蔬菜,抗坏血酸(又名维生素C),4.014,300,5.0,g/kg,,,2,GB 2760-2024,False
partial-dataset-v1.0.0,4,2,抗坏血酸钙,抗坏血酸钙,0.8g/kg,0.8,g/kg,SAFE,SAFE,04.02.01.03,去皮、切块或切丝的蔬菜,04.02.01.03 > 04.02.01 > 04.02 > 04.0,去皮、切块或切丝的蔬菜 > 新鲜蔬菜 > 蔬菜 > 水果、蔬菜(包括块根类)、豆类、食用菌、藻类、坚果以及籽类等,supporting_rule_found,04.02.01.03,去皮、切块或切丝的蔬菜,抗坏血酸钙,4.009,302,1.0,g/kg,,以抗坏血酸钙残留量计,1,GB 2760-2024,False
partial-dataset-v1.0.0,5,1,竹叶抗氧化物,竹叶抗氧化物,0.3g/kg,0.3,g/kg,SAFE,SAFE,08.03.06,发酵肉制品类,08.03.06 > 08.03 > 08.0,发酵肉制品类 > 熟肉制品 > 肉及肉制品,supporting_rule_found,08.03.06,发酵肉制品类,竹叶抗氧化物,4.019,,0.5,g/kg,,,1,GB 2760-2024,False
