category_code,category_name,additive_name,cns,ins,max_amount,unit,remark,calc_basis
09.01,鲜水产(仅限虾类),4-己基间苯二酚,04.013,586,-1.0,mg/kg,,
-2),"各类食品,表 A.2中编号为1-68的食品类别除外",5'-呈味核苷酸二钠,12.004,635,-1.0,GMP,,
-,"各类食品,表 A.2中编号为1~68的食品类别除外",5'-肌苷酸二钠,12.003,631,-1.0,GMP,,
-,"各类食品,表 A.2中编号为1~68的食品类别除外",5'-鸟苷酸二钠,12.002,627,-1.0,GMP,,
05.02,糖果,D-甘露糖醇,19.017,421,-1.0,,,
15.03.01,葡萄酒,"D-异抗坏血酸及其钠盐(包括D-异抗坏血酸,D-异抗坏血酸钠)",04.004,315,0.15,g/kg,,以抗坏血酸计
15.03.01,"各类食品,表 A.2中编号为1~62、64~68的食品类别除外","D-异抗坏血酸及其钠盐(包括D-异抗坏血酸,D-异抗坏血酸钠)",04.004,315,-1.0,GMP,,
,"各类食品,表 A.2中编号为1~68的食品类别除外",DL-苹果酸,01.309,296,-1.0,GMP,,
--,"各类食品,表 A.2中编号为1~68的食品类别除外",DL-苹果酸钠,01.314,350,-1.0,GMP,,
06.03.02.01,生湿面制品(如 面 条、饺 子 皮、馄 饼 皮、烧麦皮)(仅限拉面),L-半胱氨酸盐酸盐,13.003,920,0.3,g/kg,,
06.03.02.03,发酵面制品,L-半胱氨酸盐酸盐,13.003,920,0.06,g/kg,,
06.08,冷冻米面制品,L-半胱氨酸盐酸盐,13.003,920,0.6,g/kg,,
12.0,调味品(12.01盐及代盐制品、12.09香辛料类除外),L-丙氨酸,12.006,,-1.0,GMP,,
04.02.02.03,腌渍的蔬菜,"L(+)-酒石酸,dl-酒石酸",01.111,334,3.0,g/kg,,酒石酸
05.02,糖果,"L(+)-酒石酸,dl-酒石酸",01.111,334,30.0,g/kg,,酒石酸
06.03.02.05,油炸面制品,"L(+)-酒石酸,dl-酒石酸",01.111,334,10.0,g/kg,,酒石酸
06.05.02.01,粉丝、粉条,"L(+)-酒石酸,dl-酒石酸",01.111,334,2.0,g/kg,,酒石酸
06.11,面糊 (如 用 于 鱼 和 禽 肉 的 拖 面 糊)、裹粉、煎炸粉,"L(+)-酒石酸,dl-酒石酸",01.111,334,10.0,g/kg,,酒石酸
12.10.01,固体复合调味料,"L(+)-酒石酸,dl-酒石酸",01.111,334,10.0,g/kg,,酒石酸
14.02.03,果蔬汁(浆)类饮料,"L(+)-酒石酸,dl-酒石酸",01.111,334,5.0,g/kg,"以即饮状态计,相应的固体饮料按稀释倍数增加使用量",酒石酸
14.03.02,植物蛋白饮料,"L(+)-酒石酸,dl-酒石酸",01.111,334,5.0,g/kg,"以即饮状态计,相应的固体饮料按稀释倍数增加使用量",酒石酸
14.03.03,复合蛋白饮料,"L(+)-酒石酸,dl-酒石酸",01.111,334,5.0,g/kg,"以即饮状态计,相应的固体饮料按稀释倍数增加使用量",酒石酸计
14.04,碳酸饮料,"L(+)-酒石酸,dl-酒石酸",01.111,334,5.0,g/kg,"以即饮状态计,相应的固体饮料按稀释倍数增加使用量",酒石酸计
14.05,茶、咖啡、植物(类)饮料,"L(+)-酒石酸,dl-酒石酸",01.111,334,5.0,g/kg,"以即饮状态计,相应的固体饮料按稀释倍数增加使用量",酒石酸计
14.07,特殊用途饮料,"L(+)-酒石酸,dl-酒石酸",01.111,334,5.0,g/kg,"以即饮状态计,相应的固体饮料按稀释倍数增加使用量",酒石酸计
14.08,风味饮料,"L(+)-酒石酸,dl-酒石酸",01.111,334,5.0,g/kg,"以即饮状态计,相应的固体饮料按稀释倍数增加使用量",酒石酸计
15.03.01,葡萄酒,"L(+)-酒石酸,dl-酒石酸",01.111,334,4.0,g/L,,酒石酸计
-,"各类食品,表 A.2中编号为1~68的食品类别除外",L-苹果酸,01.104,,-1.0,GMP,,
-,"各类食品,表 A.2中编号为1~68的食品类别除外",L-苹果酸钠,01.315,,-1.0,GMP,,
-,"各类食品,表 A.2中编号为1~68的食品类别除外",α-环状糊精,18,,-1.0,GMP,,
01.02.02,风味发酵乳,β-阿朴-8'-胡萝卜素醛,08.018,160e,0.015,g/kg,,以β-阿朴-8'-胡萝卜素醛计
01.06.04,再制干酪及干酪制品,β-阿朴-8'-胡萝卜素醛,08.018,160e,0.018,g/kg,,以β-阿朴-8'-胡萝卜素醛计
03.0,冷冻饮品(03.04食用冰除外),β-阿朴-8'-胡萝卜素醛,08.018,160e,0.02,g/kg,,以β-阿朴-8'-胡萝卜素醛计
05.02,糖果,β-阿朴-8'-胡萝卜素醛,08.018,160e,0.015,g/kg,,以β-阿朴-8'-胡萝卜素醛计
07.0,焙烤食品,β-阿朴-8'-胡萝卜素醛,08.018,160e,0.015,g/kg,,以β-阿朴-8'-胡萝卜素醛计
12.10.02,半固体复合调味料,β-阿朴-8'-胡萝卜素醛,08.018,160e,0.005,g/kg,,以β-阿朴-8'-胡萝卜素醛计
14.0,饮料类[14.01包装饮用水、14.02.01果蔬汁(浆)、14.02.02浓缩果蔬汁(浆)除外],β-阿朴-8'-胡萝卜素醛,08.018,160e,0.01,g/L,,"以β-阿朴-8'-胡萝卜素醛计,以即饮状态计,相应的固体饮料按稀释倍数增加使用量"
01.01.03,调制乳,β-胡萝卜素,08.010,160a,1.0,g/kg,,
01.02.02,风味发酵乳,β-胡萝卜素,08.010,160a,1.0,g/kg,,
01.03.02,调制乳粉和调制奶油粉,β-胡萝卜素,08.010,160a,1.0,g/kg,,
01.05,稀奶油(淡奶油)及其类似品(01.05.01稀奶油除外),β-胡萝卜素,08.010,160a,0.02,g/kg,,
01.06.01,非熟化干酪,β-胡萝卜素,08.010,160a,0.6,g/kg,,
01.06.02,熟化干酪,β-胡萝卜素,08.010,160a,1.0,g/kg,,
01.06.04,再制干酪及干酪制品,β-胡萝卜素,08.010,160a,1.0,g/kg,,
01.06.05,干酪类似品,β-胡萝卜素,08.010,160a,1.0,g/kg,,
01.07,以乳为主要配料的即食风味食品 或 其预制产品 (不包括冰淇淋和风味发酵乳),β-胡萝卜素,08.010,160a,1.0,g/kg,,
02.02,水油状脂肪乳化制品(02.02.01.01黄油和浓缩黄油除外),β-胡萝卜素,08.010,160a,1.0,g/kg,,
02.03,"02.02类以外的脂肪乳化制品,包括混合的和(或)调味的脂肪乳化制品",β-胡萝卜素,08.010,160a,1.0,g/kg,,
02.04,脂肪类甜品,β-胡萝卜素,08.010,160a,1.0,g/kg,,
02.05,其他油脂或油脂制品(仅限植脂末),β-胡萝卜素,08.010,160a,0.065,g/kg,,
03.0,冷冻饮品(03.04食用冰除外),β-胡萝卜素,08.010,160a,1.0,g/kg,,
04.01.02.03,醋、油或盐渍水果,β-胡萝卜素,08.010,160a,1.0,g/kg,,
04.01.02.04,水果罐头,β-胡萝卜素,08.010,160a,1.0,g/kg,,
04.01.02.05,果酱,β-胡萝卜素,08.010,160a,1.0,g/kg,,
04.01.02.07,除04.01.02.05以外的果酱(如印度酸辣酱),β-胡萝卜素,08.010,160a,0.5,g/kg,,
04.01.02.08,蜜饯,β-胡萝卜素,08.010,160a,1.0,g/kg,,
04.01.02.09,装饰性果蔬,β-胡萝卜素,08.010,160a,0.1,g/kg,,
04.01.02.10,"水果甜品,包括果味液体甜品",β-胡萝卜素,08.010,160a,1.0,g/kg,,
04.01.02.11,发酵的水果制品,β-胡萝卜素,08.010,160a,0.2,g/kg,,
