parent_code,parent_name,child_code,child_name
01.0,,01.01,巴氏杀菌乳、灭菌乳、高温杀菌乳和调制乳
01.01,,01.01.01,巴氏杀菌乳
01.01,,01.01.02,灭菌乳和高温杀菌乳
01.01,,01.01.03,调制乳
01.0,,01.02,发酵乳和风味发酵乳
01.02,,01.02.01,发酵乳
01.02,,01.02.02,风味发酵乳
01.0,,01.03,乳粉和奶油粉及其调制产品
01.03,,01.03.01,乳粉和奶油粉
01.03,,01.03.02,调制乳粉和调制奶油粉
01.0,,01.04,炼乳及其调制产品
01.04,,01.04.01,淡炼乳(原味)
01.04,,01.04.02,调制炼乳(包括加糖炼乳及使用了非乳原料的调制炼乳等)
01.0,,01.05,稀奶油(淡奶油)及其类似品
01.05,,01.05.01,稀奶油
01.05,,01.05.02,—
01.05,,01.05.03,调制稀奶油
01.05,,01.05.04,稀奶油类似品
01.0,,01.06,干酪、再制干酪、干酪制品及干酪类似品
01.06,,01.06.01,非熟化干酪
01.06,,01.06.02,熟化干酪
01.06,,01.06.03,乳清干酪
01.06,,01.06.04,再制干酪及干酪制品
01.06.04,,01.06.04.01,普通再制干酪
01.06.04,,01.06.04.02,调味再制干酪
01.06,,01.06.05,干酪类似品
01.06,,01.06.06,乳清蛋白干酪
01.0,,01.07,以乳为主要配料的即食风味食品或其预制产品(不包括冰淇淋和风味发酵乳)
01.0,,01.08,其他乳制品(如乳清粉、酪蛋白粉等)
02.0,,02.01,基本不含水的脂肪和油
02.01,,02.01.01,植物油脂
02.01.01,,02.01.01.01,植物油
02.01.01,,02.01.01.02,氢化植物油
02.01,,02.01.02,动物油脂(包括猪油、牛油、鱼油和其他动物脂肪等)
02.01,,02.01.03,"无水黄油,无水乳脂"
02.0,,02.02,水油状脂肪乳化制品
02.02,,02.02.01,脂肪含量80%以上的乳化制品
02.02.01,,02.02.01.01,黄油和浓缩黄油
02.02.01,,02.02.01.02,人造黄油(人造奶油)及其类似制品(如黄油和人造黄油混合品)
02.02,,02.02.02,脂肪含量80%以下的乳化制品
02.0,,02.03,"02.02类以外的脂肪乳化制品,包括混合的和(或)调味的脂肪乳化制品"
02.0,,02.04,脂肪类甜品
02.0,,02.05,其他油脂或油脂制品
03.0,,03.01,冰淇淋、雪糕类
03.0,,03.02,—
03.0,,03.03,风味冰、冰棍类
03.0,,03.04,食用冰
03.0,,03.05,其他冷冻饮品
04.0,,04.01,水果
04.01,,04.01.01,新鲜水果
04.01.01,,04.01.01.01,未经加工的鲜水果
04.01.01,,04.01.01.02,经表面处理的鲜水果
04.01.01,,04.01.01.03,去皮或预切的鲜水果
04.01,,04.01.02,加工水果
04.01.02,,04.01.02.01,冷冻水果
04.01.02,,04.01.02.02,水果干类
04.01.02,,04.01.02.03,醋、油或盐渍水果
04.01.02,,04.01.02.04,水果罐头
04.01.02,,04.01.02.05,果酱
04.01.02,,04.01.02.06,果泥
04.01.02,,04.01.02.07,除04.01.02.05以外的果酱(如印度酸辣酱)
04.01.02,,04.01.02.08,蜜饯
04.01.02.08,,04.01.02.08.01,蜜饯类、凉果类
04.01.02.08,,04.01.02.08.02,—
04.01.02.08,,04.01.02.08.03,果脯类
04.01.02.08,,04.01.02.08.04,话化类
04.01.02.08,,04.01.02.08.05,果糕类
04.01.02,,04.01.02.09,装饰性果蔬
04.01.02,,04.01.02.10,"水果甜品,包括果味液体甜品"
04.01.02,,04.01.02.11,发酵的水果制品
04.01.02,,04.01.02.12,煮熟的或油炸的水果
04.01.02,,04.01.02.13,其他加工水果
04.0,,04.02,蔬菜
04.02,,04.02.01,新鲜蔬菜
04.02.01,,04.02.01.01,未经加工鲜蔬菜
04.02.01,,04.02.01.02,经表面处理的新鲜蔬菜
04.02.01,,04.02.01.03,去皮、切块或切丝的蔬菜
04.02.01,,04.02.01.04,芽菜类
04.02,,04.02.02,加工蔬菜
04.02.02,,04.02.02.01,冷冻蔬菜
04.02.02,,04.02.02.02,干制蔬菜
04.02.02,,04.02.02.03,腌渍的蔬菜
04.02.02,,04.02.02.04,蔬菜罐头
04.02.02,,04.02.02.05,"蔬菜泥(酱),番茄沙司除外"
04.02.02,,04.02.02.06,发酵蔬菜制品
04.02.02,,04.02.02.07,经水煮或油炸的蔬菜
04.02.02,,04.02.02.08,其他加工蔬菜
04.0,,04.03,食用菌和藻类
04.03,,04.03.01,新鲜食用菌和藻类
04.03.01,,04.03.01.01,未经加工鲜食用菌和藻类
04.03.01,,04.03.01.02,经表面处理的鲜食用菌和藻类
04.03.01,,04.03.01.03,去皮、切块或切丝的食用菌和藻类
04.03,,04.03.02,加工食用菌和藻类
04.03.02,,04.03.02.01,冷冻食用菌和藻类
04.03.02,,04.03.02.02,干制食用菌和藻类
04.03.02,,04.03.02.03,腌渍的食用菌和藻类
04.03.02,,04.03.02.04,食用菌和藻类罐头
04.03.02,,04.03.02.05,经水煮或油炸的藻类
04.03.02,,04.03.02.06,其他加工食用菌和藻类
04.0,,04.04,豆类制品
04.04,,04.04.01,非发酵豆制品
04.04.01,,04.04.01.01,豆腐类
04.04.01,,04.04.01.02,豆干类
04.04.01,,04.04.01.03,豆干再制品
04.04.01.03,,04.04.01.03.01,炸制豆干
04.04.01.03,,04.04.01.03.02,卤制豆干
04.04.01.03,,04.04.01.03.03,熏制豆干
04.04.01.03,,04.04.01.03.04,其他豆干
04.04.01,,04.04.01.04,腐竹类(包括腐竹、油皮等)
04.04.01,,04.04.01.05,新型豆制品(大豆蛋白及其膨化食品、大豆素肉等)
04.04.01,,04.04.01.06,熟制豆类
04.04,,04.04.02,发酵豆制品
04.04.02,,04.04.02.01,腐乳类
04.04.02,,04.04.02.02,豆豉及其制品(包括纳豆)
04.04,,04.04.03,其他豆制品
04.0,,04.05,坚果和籽类
04.05,,04.05.01,新鲜坚果与籽类
04.05,,04.05.02,加工坚果与籽类
04.05.02,,04.05.02.01,熟制坚果与籽类
04.05.02.01,,04.05.02.01.01,带壳熟制坚果与籽类
04.05.02.01,,04.05.02.01.02,脱壳熟制坚果与籽类
04.05.02,,04.05.02.02,—
04.05.02,,04.05.02.03,坚果与籽类罐头
04.05.02,,04.05.02.04,"坚果与籽类的泥(酱),包括花生酱等"
04.05.02,,04.05.02.05,其他加工的坚果与籽类(如腌渍的果仁)
05.0,,05.01,"可可制品、巧克力和巧克力制品,包括代可可脂巧克力及制品"
05.01,,05.01.01,可可制品(包括以可可为主要原料的脂、粉、浆、酱、馅等)
05.01,,05.01.02,巧克力和巧克力制品、除05.01.01以外的可可制品
05.01,,05.01.03,代可可脂巧克力及其制品
05.0,,05.02,糖果
05.02,,05.02.01,胶基糖果
05.02,,05.02.02,除胶基糖果以外的其他糖果
05.0,,05.03,糖果和巧克力制品包衣
05.0,,05.04,"装饰糖果(如工艺造型,或用于蛋糕装饰)、顶饰(非水果材料)和甜汁"
06.0,,06.01,原粮
06.0,,06.02,大米及其制品
06.02,,06.02.01,大米
06.02,,06.02.02,大米制品
06.02,,06.02.03,米粉(包括汤圆粉等)
06.02,,06.02.04,米粉制品
06.0,,06.03,小麦粉及其制品
06.03,,06.03.01,小麦粉
06.03.01,,06.03.01.01,通用小麦粉
06.03.01,,06.03.01.02,专用小麦粉(如自发粉、饺子粉等)
06.03,,06.03.02,小麦粉制品
